PassengerId,Survived
892,0.08511747
893,0.016741084
894,0.007728434
895,0.066246614
896,0.59551847
897,0.12923113
898,0.5947071
899,0.26073626
900,0.2266793
901,0.0375385
902,0.27631462
903,0.048702206
904,0.9155708
905,0.0033602654
906,0.9772444
907,0.44119266
908,0.11687392
909,0.14267728
910,0.7636169
911,0.25907496
912,0.0031768146
913,0.15743084
914,0.99376065
915,0.007814229
916,0.5169051
917,0.0052526467
918,0.9921875
919,0.19295281
920,0.66581213
921,0.12593976
922,0.027948447
923,0.030684277
924,0.5438092
925,0.3619009
926,0.2620729
927,0.2715007
928,0.7436487
929,0.67898285
930,0.123434
931,0.6108608
932,0.03199213
933,0.36464596
934,0.14689384
935,0.97024316
936,0.996472
937,0.2847601
938,0.044039123
939,0.09576686
940,0.9881968
941,0.62313837
942,0.2177839
943,0.06516399
944,0.9745883
945,0.9464966
946,0.04759198
947,0.00011691043
948,0.079718284
949,0.41478083
950,0.44516972
951,0.98919123
952,0.16938296
953,0.1684499
954,0.13237119
955,0.54233915
956,0.0009682328
957,0.97024125
958,0.6004727
959,0.19540703
960,0.14512537
961,0.75554407
962,0.48143727
963,0.16904269
964,0.34828007
965,0.0703535
966,0.9965084
967,0.39176878
968,0.17204368
969,0.9979962
970,0.08598704
971,0.6479759
972,0.3901586
973,0.010932594
974,0.114047356
975,0.14092553
976,0.23243196
977,0.6784952
978,0.4375564
979,0.5153241
980,0.7472716
981,0.4864059
982,0.58463514
983,0.13183907
984,0.9852266
985,0.15516113
986,0.084574826
987,0.09211248
988,0.9988734
989,0.41017875
990,0.49716243
991,0.14311026
992,0.9855655
993,0.047269188
994,0.14194982
995,0.1588411
996,0.35311323
997,0.2379106
998,0.1556157
999,0.06941302
1000,0.03695588
1001,0.20156126
1002,0.038372263
1003,0.500081
1004,0.9374285
1005,0.48839852
1006,0.996188
1007,0.3826173
1008,0.15318172
1009,0.2943017
1010,0.64753425
1011,0.9799815
1012,0.9043514
1013,0.30716282
1014,0.9938373
1015,0.12610541
1016,0.12797645
1017,0.67280495
1018,0.1254409
1019,0.55955744
1020,0.1175093
1021,0.102157876
1022,0.62104106
1023,0.17152013
1024,0.7706347
1025,0.23024282
1026,0.054468017
1027,0.14903949
1028,0.043655623
1029,0.099651806
1030,0.6976612
1031,0.000120273224
1032,0.0013278534
1033,0.9996126
1034,0.0006328986
1035,0.13157144
1036,0.2568946
1037,0.0001902177
1038,0.2677837
1039,0.117051855
1040,0.08349354
1041,0.17335382
1042,0.9933844
1043,0.22023425
1044,0.0104853455
1045,0.547259
1046,0.056790885
1047,0.16780299
1048,0.99697375
1049,0.38441324
1050,0.64302444
1051,0.65182364
1052,0.40497956
1053,0.23310164
1054,0.87090385
1055,0.060408622
1056,0.043006647
1057,0.34828782
1058,0.12639238
1059,0.0017578856
1060,0.98542225
1061,0.3497002
1062,0.09699187
1063,0.039122473
1064,0.11864882
1065,0.091668755
1066,0.0032076463
1067,0.93311584
1068,0.979916
1069,0.06101892
1070,0.90528053
1071,0.97026706
1072,0.07247607
1073,0.11668287
1074,0.99892944
1075,0.07907233
1076,0.993385
1077,0.05659613
1078,0.9909156
1079,0.054923095
1080,5.5155203e-07
1081,0.025359582
1082,0.31306162
1083,0.33648494
1084,0.011082587
1085,0.015680274
1086,0.9114834
1087,0.12552537
1088,0.8131348
1089,0.3865029
1090,0.034350637
1091,0.39916232
1092,0.5397668
1093,0.90871626
1094,0.5309976
1095,0.9933775
1096,0.034973532
1097,0.13127835
1098,0.48376706
1099,0.04686316
1100,0.986437
1101,0.16344513
1102,0.08037664
1103,0.08839263
1104,0.13067092
1105,0.98537976
1106,0.055766746
1107,0.25447246
1108,0.590151
1109,0.018816626
1110,0.9981737
1111,0.01940928
1112,0.9804175
1113,0.050320677
1114,0.93051016
1115,0.13385393
1116,0.99671245
1117,0.9884849
1118,0.07251012
1119,0.49304903
1120,0.13046403
1121,0.052900113
1122,0.12552474
1123,0.9990558
1124,0.017120043
1125,0.080202624
1126,0.25853753
1127,0.0227122
1128,0.03526545
1129,0.20586489
1130,0.99527305
1131,0.9962978
1132,0.99966204
1133,0.9738704
1134,0.08597593
1135,0.08307193
1136,0.07199797
1137,0.26925042
1138,0.98391694
1139,0.076859854
1140,0.99463105
1141,0.9526734
1142,0.97521985
1143,0.028367091
1144,0.9538686
1145,0.03813908
1146,0.016100034
1147,0.057432238
1148,0.06315514
1149,0.08077674
1150,0.90323216
1151,0.07618818
1152,0.0043671066
1153,0.06653942
1154,0.99246734
1155,0.7360846
1156,0.19272943
1157,0.066859744
1158,0.037006017
1159,0.01335014
1160,0.42829928
1161,0.04000322
1162,0.5982376
1163,0.08709028
1164,0.99915636
1165,0.69931614
1166,0.07266026
1167,0.9768876
1168,0.6521346
1169,0.078557305
1170,0.031194294
1171,0.58335173
1172,0.49792913
1173,0.08138287
1174,0.47160092
1175,0.91565937
1176,0.41294086
1177,0.09041749
1178,0.08454101
1179,0.07803351
1180,0.44649348
1181,0.08690986
1182,0.17522764
1183,0.16733088
1184,0.13419783
1185,0.4534176
1186,0.01083362
1187,0.054539386
1188,0.9864768
1189,0.1904771
1190,0.26039538
1191,0.123760566
1192,0.06005461
1193,0.56179863
1194,0.43318775
1195,0.038263656
1196,0.49838695
1197,0.99908257
1198,0.75803643
1199,0.3411541
1200,0.50629425
1201,0.2971032
1202,0.08554413
1203,0.042220756
1204,0.040123634
1205,0.1854812
1206,0.9982856
1207,0.2665243
1208,0.10383503
1209,0.018187836
1210,0.11612538
1211,0.04728337
1212,0.048549403
1213,0.5025454
1214,0.06584599
1215,0.084647834
1216,0.9999583
1217,0.032869972
1218,0.94746053
1219,0.36125478
1220,0.17444655
1221,0.041635204
1222,0.98048806
1223,0.48434097
1224,0.055690587
1225,0.9599506
1226,0.07680876
1227,0.12614948
1228,0.0071518305
1229,0.29826057
1230,0.08238182
1231,0.14110865
1232,0.049605362
1233,0.084748685
1234,0.0066136946
1235,0.99997115
